stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
F02337;Barabás Villa;47.504902;19.018826;;;;2;129
F02338;Barabás Villa;47.505118;19.018640;;;;2;-51
F02339;Temes utca;47.506826;19.015122;;;;2;-59
F02340;Temes utca;47.506709;19.015148;;;;2;121
F02341;Szent János Kórház;47.508712;19.009721;;;;1;-59
F02342;Szent János Kórház;47.509116;19.009030;;;;1;154
F02343;Szent János Kórház;47.508361;19.008487;;;;2;45
F02344;Rőzse köz;47.508315;19.003492;;;;2;-80
F02345;Rőzse köz;47.508153;19.004116;;;;2;97
F02346;Józsa Béla köz;47.509141;18.999840;;;;2;-73
F02347;Józsa Béla köz;47.509330;18.999614;;;;2;178
F02348;Pető Intézet;47.511961;19.003999;;;;2;-55
F02349;Pető Intézet;47.512084;19.003502;;;;2;123
F02350;Virányos út;47.512586;19.000156;;;;2;-164
F02351;Virányos út;47.512623;19.001085;;;;2;105
F02352;Moholy-Nagy Művészeti Egyetem;47.516628;18.990066;;;;2;-67
F02353;Moholy-Nagy Művészeti Egyetem;47.516475;18.990199;;;;2;105
F02355;Fészek utca;47.511829;18.997249;;;;2;-70
F02356;Fészek utca;47.511740;18.997209;;;;2;110
F02357;Kútvölgyi lejtő, Traumatológia;47.511417;19.000608;;;;2;-87
F02358;Kútvölgyi lejtő, Traumatológia;47.511318;19.000847;;;;2;93
F02359;Zirzen Janka utca;47.511360;18.992669;;;;2;-127
F02360;György Aladár utca;47.511457;18.989841;;;;2;-59
F02361;György Aladár utca;47.511520;18.989403;;;;2;122
F02362;Kiss Áron utca;47.512878;18.989733;;;;2;-31
F02364;Orvosi rendelő;47.483316;18.996220;;;;1;137
F02365;Orvosi rendelő;47.483703;18.995861;;;;1;-43
F02366;Hadik András utca;47.509849;18.994596;;;;2;-61
F02367;Hadik András utca;47.509966;18.993958;;;;2;113
F02368;Lelesz utca;47.509669;18.992843;;;;2;134
F02369;Lelesz utca;47.509546;18.993155;;;;2;-44
F02370;Felső Svábhegyi út;47.508525;18.990614;;;;2;-127
F02371;Felső Svábhegyi út;47.508129;18.989991;;;;2;52
F02372;Regőczi István tér;47.507174;18.988152;;;;2;-132
F02373;Regőczi István tér;47.507165;18.988324;;;;2;13
F02374;Galgóczy utca;47.511814;18.986952;;;;2;-92
F02375;Galgóczy utca;47.511373;18.985943;;;;2;44
F02376;Zalai út;47.511536;18.984889;;;;2;-3
F02377;Zalai út;47.511607;18.983946;;;;2;78
F02378;Béla király út;47.510424;18.975876;;;;2;-103
F02379;Csillagvölgyi út;47.510395;18.975073;;;;1;118
F02380;Fácános tér;47.511005;18.972058;;;;2;69
F02381;Zugliget, Libegő;47.516523;18.976598;;;;2;70
F02382;Zugliget, Libegő;47.516530;18.976179;;;;2;-95
F02383;Lóvasút;47.517108;18.980719;;;;1;51
F02384;Lóvasút;47.516793;18.979763;;;;1;-114
F02385;Szarvas Gábor út;47.518072;18.983878;;;;2;-94
F02386;Szarvas Gábor út;47.517955;18.983692;;;;2;86
F02387;Adonis utca;47.503046;18.989882;;;;1;-146
F02388;Adonis utca;47.503604;18.990585;;;;1;24
F02389;Istenhegyi lejtő;47.505566;18.992680;;;;1;-74
F02390;Istenhegyi lejtő;47.505485;18.992534;;;;1;106
F02391;Óra út;47.504642;18.997964;;;;1;-64
F02392;Óra út;47.504525;18.998004;;;;1;116
F02393;Nógrádi utca;47.503178;19.002916;;;;1;-110
F02394;Nógrádi utca;47.502917;19.002186;;;;1;78
F02395;Pethényi út;47.502828;19.005850;;;;1;-20
F02396;Pethényi út;47.502280;19.005903;;;;1;161
F02397;Szent Orbán tér;47.499646;19.009608;;;;1;-82
F02398;Szent Orbán tér;47.499430;19.010206;;;;1;108
F02399;Szent Orbán tér;47.499223;19.009011;;;;1;-39
F02400;Szent Orbán tér;47.499340;19.008640;;;;1;142
F02401;Szent Orbán tér;47.499340;19.008295;;;;1;5
F02402;Istenhegyi út;47.498515;19.016948;;;;1;-145
F02403;Tóth Lőrinc utca;47.499657;19.017611;;;;1;133
F02404;Goldmark Károly utca;47.501797;19.015553;;;;2;-159
F02405;Határőr út;47.503497;19.016043;;;;1;-40
F02406;Ráth György utca;47.500027;19.020717;;;;1;-64
F02407;Kék Golyó utca;47.497814;19.021129;;;;2;20
F02408;Kék Golyó utca;47.497571;19.020891;;;;2;-159
F02409;Kék Golyó utca;47.497293;19.020652;;;;1;-158
